Idea,AnnualRevenue,AnnualExpenses,Benefits,ApplicationOrUtility,Design,ProofOfConcept,Legal,Demand,Competition,Scope,ShockValue,Solution,TimeToProfit,TimeToRevenue,Opportunity,DomainKnowledge,Workforce,PhysicalCapital,Overall
,,,,,,,,,,,,,,,,,,,
AugmentedDog,8,7,8,6,9,5,2,6,1,9,9,7,9,8,8,2,4,9,2268
LandDrones,8,7,8,9,9,8,2,8,6,8,7,7,9,8,8,4,4,9,588
Computer_Engineer,5,1,5,9,5,9,9,9,9,8,5,9,1,1,8,6,1,1,8100
Modern_Bar,6,4,7,8,8,7,4,8,9,8,7,8,6,2,6,7,6,8,1061.925926
Pool_and_Gym,6,5,6,8,7,7,6,8,4,6,8,8,5,2,7,8,6,8,1433.6
Drug_Dealer,3,1,7,7,5,5,1,8,5,5,5,6,2,2,6,7,6,4,1680
Drug_Cook,3,1,5,8,7,5,1,8,5,5,5,8,2,2,8,3,2,5,3584
Hitman,5,3,5,9,8,5,1,6,3,5,8,8,2,3,9,4,2,2,9216
Old_age_facilities,6,4,7,8,8,7,6,9,7,6,8,8,5,4,7,6,6,7,2106.514286
Electric_Superbike,7,6,6,6,9,8,7,6,4,6,7,9,6,5,7,5,6,7,850.5
AIConstruction,8,6,7,7,9,7,7,7,3,7,7,8,5,5,8,4,8,9,3292.8
